person,ad_id,time,channel_id
2,1,2020-07-11T21:06:10Z,3
2,1,2020-10-27T02:47:37Z,2
2,2,2020-05-21T11:32:18Z,3
2,2,2020-12-14T16:46:00Z,3
2,2,2020-02-23T14:22:01Z,3
3,1,2020-02-06T13:05:18Z,3
3,1,2020-11-29T22:32:13Z,3
3,1,2020-09-28T08:28:27Z,2
3,1,2020-10-12T20:30:35Z,2
3,1,2020-11-07T17:05:55Z,3
3,1,2020-09-20T10:28:38Z,3
3,1,2020-03-14T05:08:39Z,2
3,2,2020-04-09T18:45:25Z,1
3,2,2020-08-19T17:22:45Z,3
3,2,2020-07-15T11:54:51Z,2
3,2,2020-11-05T04:10:29Z,3
3,2,2020-02-26T22:57:27Z,2
3,2,2020-12-29T08:20:41Z,1
3,2,2020-08-18T11:15:37Z,1
3,2,2020-04-18T10:01:41Z,3
3,2,2020-07-12T07:50:07Z,2
3,2,2020-12-23T13:58:57Z,1
3,2,2020-10-06T23:00:29Z,1
3,2,2020-11-24T21:27:04Z,3
3,2,2020-12-08T23:13:12Z,2
3,2,2020-10-14T08:43:54Z,2
3,2,2020-11-27T23:07:25Z,2
3,2,2020-09-14T23:30:14Z,3
3,2,2020-12-28T01:39:59Z,1
4,1,2020-03-27T04:02:42Z,3
4,2,2020-06-16T20:01:53Z,1
4,2,2020-07-15T15:10:53Z,1
4,2,2020-10-11T06:17:17Z,3
4,2,2020-10-28T05:05:05Z,2
4,2,2020-01-03T04:29:51Z,3
5,1,2020-12-29T07:21:39Z,3
5,1,2020-09-04T20:15:15Z,1
5,1,2020-11-10T07:41:39Z,1
5,2,2020-02-12T23:46:46Z,2
5,2,2020-07-15T21:43:30Z,1
5,2,2020-08-23T11:11:05Z,2
5,2,2020-10-14T13:36:16Z,1
5,2,2020-06-11T22:57:58Z,3
6,1,2020-07-18T13:32:06Z,3
6,1,2020-01-12T08:27:02Z,3
6,1,2020-07-10T08:06:57Z,1
6,1,2020-08-01T22:00:32Z,1
6,1,2020-11-09T15:11:52Z,3
6,1,2020-08-30T03:34:12Z,1
6,1,2020-04-06T13:20:04Z,3
6,1,2020-10-07T16:28:29Z,2
6,1,2020-01-25T04:20:25Z,2
6,1,2020-01-22T09:41:37Z,2
6,1,2020-05-27T16:24:07Z,1
6,1,2020-11-16T11:16:34Z,1
6,1,2020-01-24T15:01:34Z,1
6,1,2020-11-24T21:46:32Z,2
6,1,2020-01-25T02:41:30Z,3
6,1,2020-08-21T01:59:10Z,2
6,1,2020-05-11T07:51:58Z,2
6,1,2020-01-29T12:14:11Z,1
6,1,2020-10-31T19:16:02Z,1
6,1,2020-01-16T16:06:06Z,3
6,2,2020-12-14T09:46:45Z,2
6,2,2020-11-09T08:17:02Z,3
6,2,2020-03-25T11:54:44Z,1
6,2,2020-10-26T18:33:06Z,3
6,2,2020-10-02T20:23:30Z,1
6,2,2020-01-29T12:59:18Z,1
6,2,2020-11-15T00:45:36Z,2
6,2,2020-06-25T11:40:26Z,2
6,2,2020-07-22T19:58:20Z,1
6,2,2020-11-10T12:27:46Z,1
6,2,2020-01-13T19:59:38Z,2
6,2,2020-12-12T03:55:47Z,2
6,2,2020-11-25T13:18:13Z,1
6,2,2020-01-18T09:47:34Z,2
6,2,2020-06-14T00:25:48Z,2
6,2,2020-10-19T17:18:30Z,3
6,2,2020-12-01T18:29:56Z,3
6,2,2020-11-03T13:12:56Z,2
6,2,2020-05-23T11:48:03Z,2
6,2,2020-04-26T01:41:59Z,1
7,1,2020-01-18T00:24:40Z,3
7,1,2020-06-06T06:30:25Z,1
7,1,2020-06-15T18:50:25Z,1
7,2,2020-12-15T12:29:25Z,2
7,2,2020-08-13T00:38:36Z,1
7,2,2020-10-04T21:58:53Z,3
7,2,2020-10-19T01:57:55Z,2
7,2,2020-02-25T08:52:06Z,3
7,2,2020-11-01T21:53:23Z,1
7,2,2020-04-06T18:07:46Z,2
7,2,2020-07-18T18:57:59Z,1
8,1,2020-01-04T17:12:30Z,3
8,1,2020-05-13T20:27:20Z,3
8,2,2020-12-08T19:03:04Z,1
8,2,2020-09-15T10:23:52Z,2
8,2,2020-07-06T01:11:33Z,1
8,2,2020-08-18T23:04:03Z,2
8,2,2020-06-16T03:51:50Z,1
8,2,2020-10-07T03:50:31Z,3
8,2,2020-12-19T09:33:29Z,1
8,2,2020-08-12T12:30:53Z,2
9,1,2020-12-25T05:15:36Z,2
9,1,2020-04-30T06:44:47Z,2
9,1,2020-03-15T04:09:45Z,1
9,1,2020-11-30T10:47:04Z,2
9,1,2020-01-08T18:19:33Z,3
9,1,2020-05-21T00:39:57Z,1
9,2,2020-06-23T13:41:03Z,1
9,2,2020-03-08T03:20:43Z,3
9,2,2020-01-18T14:48:02Z,2
9,2,2020-07-27T13:04:01Z,3
9,2,2020-01-07T03:52:45Z,1
9,2,2020-05-24T21:43:35Z,2
9,2,2020-12-26T23:10:40Z,3
9,2,2020-08-30T07:25:13Z,3
9,2,2020-12-04T02:16:10Z,1
9,2,2020-05-14T16:58:46Z,3
9,2,2020-02-20T14:19:13Z,2
9,2,2020-10-29T07:49:04Z,1
9,2,2020-03-28T22:02:52Z,3
9,2,2020-12-14T21:50:53Z,2
9,2,2020-02-22T21:41:05Z,3
9,2,2020-12-30T14:18:10Z,1
9,2,2020-01-27T10:27:45Z,3
9,2,2020-01-16T01:12:32Z,1
9,2,2020-05-10T18:12:15Z,1
9,2,2020-03-07T17:03:34Z,1
9,2,2020-05-26T10:26:29Z,1
9,2,2020-12-09T09:41:44Z,1
10,1,2020-09-28T14:18:50Z,2
10,1,2020-08-26T08:38:12Z,3
10,2,2020-03-30T07:20:07Z,2
10,2,2020-02-02T06:46:23Z,1
10,2,2020-10-07T07:53:41Z,3
10,2,2020-06-25T12:59:06Z,3
10,2,2020-11-15T00:42:52Z,1
10,2,2020-10-12T01:25:53Z,1
10,2,2020-11-30T03:31:57Z,2
10,2,2020-09-25T01:51:38Z,3
10,2,2020-01-01T21:14:10Z,2
10,2,2020-08-10T04:16:18Z,3
11,1,2020-07-07T17:19:20Z,3
11,1,2020-07-18T03:44:20Z,3
11,2,2020-04-23T09:47:17Z,3
12,1,2020-09-24T20:59:36Z,3
12,1,2020-05-06T19:56:19Z,1
12,1,2020-04-27T20:38:37Z,3
12,1,2020-02-04T10:30:20Z,1
12,1,2020-06-16T21:46:22Z,1
12,1,2020-06-21T12:39:35Z,3
12,1,2020-09-07T23:23:03Z,1
12,1,2020-09-22T07:14:47Z,2
12,1,2020-02-06T18:52:43Z,1
12,1,2020-12-15T03:33:21Z,1
12,1,2020-11-13T04:03:09Z,3
